Date,Open,High,Low,Close,Adj Close,Volume
1997-01-02,0.18861599266529083,0.18973200023174286,0.18526799976825714,0.1875,0.1587374061346054,143113600
1997-01-03,0.18861599266529083,0.19866099953651428,0.1875,0.19419600069522858,0.1644062101840973,119716800
1997-01-06,0.15736599266529083,0.163782998919487,0.15401799976825714,0.1595979928970337,0.13511556386947632,1882832000
1997-01-07,0.16182999312877655,0.16294600069522858,0.15625,0.15625,0.13228119909763336,976931200
1997-01-08,0.16294600069522858,0.1640630066394806,0.15513400733470917,0.15736599266529083,0.13322597742080688,1100131200
1997-01-09,0.15848200023174286,0.1595979928970337,0.15625,0.15848200023174286,0.134170800447464,446656000
1997-01-10,0.15736599266529083,0.16294600069522858,0.15736599266529083,0.16294600069522858,0.13795001804828644,353718400
1997-01-13,0.16517899930477142,0.16517899930477142,0.16182999312877655,0.16182999312877655,0.13700518012046814,305748800
1997-01-14,0.1640630066394806,0.1640630066394806,0.15848200023174286,0.1595979928970337,0.13511556386947632,255774400
1997-01-15,0.16071400046348572,0.16071400046348572,0.1529020071029663,0.15401799976825714,0.13039161264896393,433092800
1997-01-16,0.1529020071029663,0.1529020071029663,0.1484380066394806,0.14955399930477142,0.1266123354434967,671305600
1997-01-17,0.14955399930477142,0.1529020071029663,0.1484380066394806,0.14955399930477142,0.1266123354434967,325147200
1997-01-20,0.15067000687122345,0.1529020071029663,0.14955399930477142,0.15122799575328827,0.12802956998348236,291625600
1997-01-21,0.15178599953651428,0.15401799976825714,0.15067000687122345,0.15401799976825714,0.13039161264896393,284827200
1997-01-22,0.15513400733470917,0.15625,0.15178599953651428,0.15345999598503113,0.1299191564321518,205620800
1997-01-23,0.15401799976825714,0.15513400733470917,0.1529020071029663,0.15401799976825714,0.13039161264896393,172345600
1997-01-24,0.15401799976825714,0.15401799976825714,0.15067000687122345,0.15067000687122345,0.1275571584701538,188283200
1997-01-27,0.1529020071029663,0.15401799976825714,0.1484380066394806,0.1484380066394806,0.1256675273180008,214043200
1997-01-28,0.15178599953651428,0.15178599953651428,0.14732100069522858,0.1484380066394806,0.1256675273180008,210560000
1997-01-29,0.1484380066394806,0.14955399930477142,0.14732100069522858,0.1484380066394806,0.1256675273180008,151704000
1997-01-30,0.14955399930477142,0.14955399930477142,0.14732100069522858,0.14955399930477142,0.1266123354434967,139932800
1997-01-31,0.1484380066394806,0.1484380066394806,0.14732100069522858,0.1484380066394806,0.1256675273180008,199628800
1997-02-03,0.15067000687122345,0.15178599953651428,0.14508900046348572,0.14564700424671173,0.12330467998981476,368110400
1997-02-04,0.14508900046348572,0.14620499312877655,0.13504500687122345,0.1372770071029663,0.11621864140033722,712644800
1997-02-05,0.13616099953651428,0.13950900733470917,0.13616099953651428,0.13616099953651428,0.1152738407254219,394486400
1997-02-06,0.13616099953651428,0.1439729928970337,0.13616099953651428,0.14285700023174286,0.12094264477491379,399504000
1997-02-07,0.14732100069522858,0.14732100069522858,0.140625,0.141183003783226,0.11952544003725052,235267200
1997-02-10,0.1439729928970337,0.1439729928970337,0.13950900733470917,0.13950900733470917,0.11810825765132904,185404800
